,symbol,T,bte_3
611,F3KZn,250,3.584608783
612,F3KZn,300,3.001091801
613,F3KZn,350,2.580797668
614,F3KZn,400,2.263526558
615,F3KZn,450,2.015533649
616,F3KZn,500,1.816380581
617,F3KZn,550,1.652951024
618,F3KZn,600,1.516437847
619,F3KZn,650,1.400707152
620,F3KZn,700,1.301355642
621,F3KZn,750,1.215140726
622,F3KZn,800,1.139621915
623,F3KZn,850,1.072927404
624,F3KZn,900,1.01359766
625,F3KZn,950,0.9604779149
626,F3KZn,1000,0.9126426231
627,F3MgRb,100,13.85435745
628,F3MgRb,150,8.449707267
629,F3MgRb,200,6.321409301
630,F3MgRb,250,5.099638787
631,F3MgRb,300,4.284261718
632,F3MgRb,350,3.695943075
633,F3MgRb,400,3.250025107
634,F3MgRb,450,2.900014792
635,F3MgRb,500,2.617883405
636,F3MgRb,550,2.385618064
637,F3MgRb,600,2.191080233
638,F3MgRb,650,2.025780272
639,F3MgRb,700,1.883598443
640,F3MgRb,750,1.760010723
641,F3MgRb,800,1.651600241
642,F3MgRb,850,1.555738103
643,F3MgRb,900,1.470368711
644,F3MgRb,950,1.393861651
645,F3MgRb,1000,1.324907244
646,FK,100,20.85510601
647,FK,150,13.05673188
648,FK,200,9.594512276
649,FK,250,7.61058626
650,FK,300,6.316372889
651,FK,350,5.402579051
652,FK,400,4.721812263
653,FK,450,4.194496298
654,FK,500,3.77374593
655,FK,550,3.430085366
656,FK,600,3.144028932
657,FK,650,2.90216748
658,FK,700,2.694965097
659,FK,750,2.515451672
660,FK,800,2.358412581
661,FK,850,2.219867743
662,FK,900,2.096726095
663,FK,950,1.986550121
664,FK,1000,1.887391564
665,Ga2N2,100,332.8424016
666,Ga2N2,150,224.6000402
667,Ga2N2,200,168.7654233
668,Ga2N2,250,135.5377457
669,Ga2N2,300,113.6616558
670,Ga2N2,350,98.12470154
671,Ga2N2,400,86.46909289
672,Ga2N2,450,77.36936321
673,Ga2N2,500,70.04924619
674,Ga2N2,550,64.02262734
675,Ga2N2,600,58.96838683
676,Ga2N2,650,54.66512819
677,Ga2N2,700,50.95482271
678,Ga2N2,750,47.72140403
679,Ga2N2,800,44.87756388
680,Ga2N2,850,42.35628067
681,Ga2N2,900,40.10520033
682,Ga2N2,950,38.08280091
683,Ga2N2,1000,36.25570941
684,KO2Sc,100,27.08465694
685,KO2Sc,150,15.06231608
686,KO2Sc,200,10.54159868
687,KO2Sc,250,8.176031565
688,KO2Sc,300,6.706365765
689,KO2Sc,350,5.696990836
690,KO2Sc,400,4.957507248
691,KO2Sc,450,4.390838783
692,KO2Sc,500,3.942036999
693,KO2Sc,550,3.577389039
694,KO2Sc,600,3.275046426
695,KO2Sc,650,3.020178871
696,KO2Sc,700,2.802347723
697,KO2Sc,750,2.613983103
698,KO2Sc,800,2.449456741
699,KO2Sc,850,2.304494178
700,KO2Sc,900,2.175789169
701,KO2Sc,950,2.060743266
702,KO2Sc,1000,1.95728543
703,Li2O,100,168.0261432
704,Li2O,150,68.26049833
705,Li2O,200,43.62950441
706,Li2O,250,32.98757783
707,Li2O,300,26.94479422
708,Li2O,350,22.955764
709,Li2O,400,20.07709044
710,Li2O,450,17.87872501
711,Li2O,500,16.13391936
712,Li2O,550,14.7099347
713,Li2O,600,13.52288454
714,Li2O,650,12.51663189
715,Li2O,700,11.65192331
716,Li2O,750,10.90034589
717,Li2O,800,10.24075215
718,Li2O,850,9.657036419
719,Li2O,900,9.136693726
720,Li2O,950,8.669853479
721,Li2O,1000,8.24861248
722,LiSe2Y,100,5.299893979
723,LiSe2Y,150,3.25405381
724,LiSe2Y,200,2.385783294
725,LiSe2Y,250,1.893078105
726,LiSe2Y,300,1.572240662
727,LiSe2Y,350,1.345660264
728,LiSe2Y,400,1.176739386
729,LiSe2Y,450,1.04579267
730,LiSe2Y,500,0.9412337598
731,LiSe2Y,550,0.8557780772
732,LiSe2Y,600,0.7846075352
733,LiSe2Y,650,0.7244043386
734,LiSe2Y,700,0.6728073895
735,LiSe2Y,750,0.6280897174
736,LiSe2Y,800,0.588958489
737,LiSe2Y,850,0.5544263733
738,LiSe2Y,900,0.523726172
739,LiSe2Y,950,0.4962526078
740,LiSe2Y,1000,0.4715216857
741,NaS2Y,100,11.48128286
742,NaS2Y,150,6.982218628
743,NaS2Y,200,5.099159273
744,NaS2Y,250,4.037526858
745,NaS2Y,300,3.348495524
746,NaS2Y,350,2.862895855
747,NaS2Y,400,2.501414529
748,NaS2Y,450,2.221530025
749,NaS2Y,500,1.998268257
750,NaS2Y,550,1.815951717
751,NaS2Y,600,1.664223853
752,NaS2Y,650,1.535960356
753,NaS2Y,700,1.426095796
754,NaS2Y,750,1.330928151
755,NaS2Y,800,1.247688055
756,NaS2Y,850,1.174261958
757,NaS2Y,900,1.109008544
758,NaS2Y,950,1.050633636
759,NaS2Y,1000,0.9981029149
760,BiNiSc,100,33.41382643
761,BiNiSc,150,19.03310906
762,BiNiSc,200,13.53915219
763,BiNiSc,250,10.58447755
764,BiNiSc,300,8.717448115
765,BiNiSc,350,7.422797821
766,BiNiSc,400,6.468986864
767,BiNiSc,450,5.735569784
768,BiNiSc,500,5.153324671
769,BiNiSc,550,4.67948311
770,BiNiSc,600,4.286125865
771,BiNiSc,650,3.954219855
772,BiNiSc,700,3.670326586
773,BiNiSc,750,3.424678337
774,BiNiSc,800,3.209999954
775,BiNiSc,850,3.020758573
776,BiNiSc,900,2.852669791
777,BiNiSc,950,2.702363273
778,BiNiSc,1000,2.567150646
779,BiNSr3,100,6.032119237
780,BiNSr3,150,4.04352626
781,BiNSr3,200,3.053224356
782,BiNSr3,250,2.454690608
783,BiNSr3,300,2.052483137
784,BiNSr3,350,1.763359806
785,BiNSr3,400,1.545477398
786,BiNSr3,450,1.375404864
787,BiNSr3,500,1.238976665
788,BiNSr3,550,1.127119587
789,BiNSr3,600,1.033752164
790,BiNSr3,650,0.9546454963
791,BiNSr3,700,0.8867679503
792,BiNSr3,750,0.8278896421
793,BiNSr3,800,0.776333973
794,BiNSr3,850,0.7308161451
795,BiNSr3,900,0.6903350957
796,BiNSr3,950,0.6540993147
797,BiNSr3,1000,0.6214747701
798,BrCa2N,100,12.49194196
799,BrCa2N,150,7.772543069
800,BrCa2N,200,5.702455197
801,BrCa2N,250,4.525440665
802,BrCa2N,300,3.758891571
803,BrCa2N,350,3.217344758
804,BrCa2N,400,2.813435384
805,BrCa2N,450,2.500213589
806,BrCa2N,500,2.250046442
807,BrCa2N,550,2.045552421
808,BrCa2N,600,1.875227865
809,BrCa2N,650,1.731146095
810,BrCa2N,700,1.607662858
811,BrCa2N,750,1.500647785
812,BrCa2N,800,1.407007609
813,BrCa2N,850,1.324379279
814,BrCa2N,900,1.250926162
815,BrCa2N,950,1.185198995
816,BrCa2N,1000,1.126038762
817,BrCu,100,2.750707127
818,BrCu,150,1.74076809
819,BrCu,200,1.281387012
820,BrCu,250,1.01628736
821,BrCu,300,0.8429875705
822,BrCu,350,0.7205739737
